Ident;Nom;Prenom;Specialité;Telephone;Employe;Indisponibilite;;;
C000001;Dupont;Pierre;#peinture, sculture#;0600000000;oui;16/10/2024;16/10/2024;;
C000002;Lexpert;Noemie;#peinture, impressionnisme, art contemporain#;0600000001;oui;22/10/2024;26/10/2024;;
C000003;Dujardin;Océane;#art moderne#;0611111111;oui;07/11/2024;07/11/2024;19/11/2024;22/11/2024
C000004;Durand;Bill;#photo#;0622222222;oui;;;;
C000005;Dupont;Max;#photo, peinture#;0633333333;oui;;;;
C000006;Martin;Martin;#peinture, sculture#;0606060606;non;18/10/2024;18/10/2024;;
C000007;Legrand;Jean-Pierre;#art moderne, peinture#;0600000002;non;18/12/2024;18/12/2024;;
C000008;Deneuve;Zoé;#photo, peinture#;0600000003;non;;;;
C000009;Ethan;Thomas;#photo, peinture#;0600000004;non;18/12/2024;18/12/2024;;
C000010;Ethan;Prevost;#photo, peinture#;0600000005;non;18/12/2024;18/12/2024;;
C000011;Romane;Roy;#photo, peinture#;0600000006;non;18/12/2024;18/12/2024;;
C000012;Audrey;Roux;#photo, peinture#;0600000007;non;18/12/2024;18/12/2024;;
C000013;Jules;Bertrand;#photo, peinture#;0600000008;non;18/12/2024;18/12/2024;;
C000014;Julien;Simon;#photo, peinture#;0600000009;non;18/12/2024;18/12/2024;;
C000015;Pierre;Faure;#photo, peinture#;0600000010;non;18/12/2024;18/12/2024;;
C000016;Léa;Blanchard;#photo, peinture#;0600000011;non;18/12/2024;18/12/2024;;
C000017;Maxime;Marchand;#photo, peinture#;0600000012;non;18/12/2024;18/12/2024;;
C000018;Nicolas;Prevost;#photo, peinture#;0600000013;non;18/12/2024;18/12/2024;;
C000019;Hugo;Martinez;#photo, peinture#;0600000014;non;18/12/2024;18/12/2024;;
C000020;Anouk;Pires;#photo, peinture#;0600000015;non;18/12/2024;18/12/2024;;
C000021;Olivier;Page;#photo, peinture#;0600000016;non;18/12/2024;18/12/2024;;
C000022;David;Brunet;#photo, peinture#;0600000017;non;18/12/2024;18/12/2024;;
C000023;Simon;François;#photo, peinture#;0600000018;non;18/12/2024;18/12/2024;;
C000024;Victoria;André;#photo, peinture#;0600000019;non;18/12/2024;18/12/2024;;
C000025;Sandra;Faure;#photo, peinture#;0600000020;non;18/12/2024;18/12/2024;;
C000026;Louis;Garnier;#photo, peinture#;0600000021;non;18/12/2024;18/12/2024;;
C000027;Timéo;Brunel;#photo, peinture#;0600000022;non;18/12/2024;18/12/2024;;
C000028;David;Moreau;#photo, peinture#;0600000023;non;18/12/2024;18/12/2024;;
C000029;Martin;Moulin;#photo, peinture#;0600000024;non;18/12/2024;18/12/2024;;
C000030;Pierre;Rey;#photo, peinture#;0600000025;non;18/12/2024;18/12/2024;;
C000031;Juliette;Lefebvre;#photo, peinture#;0600000026;non;18/12/2024;18/12/2024;;
C000032;Clara;Robert;#photo, peinture#;0600000027;non;18/12/2024;18/12/2024;;
C000033;Jonathan;Lebrun;#photo, peinture#;0600000028;non;18/12/2024;18/12/2024;;
C000034;Nathan;Barbier;#photo, peinture#;0600000029;non;18/12/2024;18/12/2024;;
C000035;Charlotte;Dupuis;#photo, peinture#;0600000030;non;18/12/2024;18/12/2024;;
C000036;Enzo;Richard;#photo, peinture#;0600000031;non;18/12/2024;18/12/2024;;
C000037;Emma;Dufour;#photo, peinture#;0600000032;non;18/12/2024;18/12/2024;;
C000038;Florian;Pelletier;#photo, peinture#;0600000033;non;18/12/2024;18/12/2024;;
C000039;Corentin;Blanc;#photo, peinture#;0600000034;non;18/12/2024;18/12/2024;;
C000040;Kevin;Barbier;#photo, peinture#;0600000035;non;18/12/2024;18/12/2024;;
C000041;Audrey;Garcia;#photo, peinture#;0600000036;non;18/12/2024;18/12/2024;;
C000042;Thomas;Gautier;#photo, peinture#;0600000037;non;18/12/2024;18/12/2024;;
C000043;Yannis;Mathieu;#photo, peinture#;0600000038;non;18/12/2024;18/12/2024;;
C000044;Léa;Boyer;#photo, peinture#;0600000039;non;18/12/2024;18/12/2024;;
C000045;Timéo;Nguyen;#photo, peinture#;0600000040;non;18/12/2024;18/12/2024;;
C000046;Noémie;Robert;#photo, peinture#;0600000041;non;18/12/2024;18/12/2024;;
C000047;Jules;Dufour;#photo, peinture#;0600000042;non;18/12/2024;18/12/2024;;
C000048;Jérémy;Moulin;#photo, peinture#;0600000043;non;18/12/2024;18/12/2024;;
C000049;Esteban;Roy;#photo, peinture#;0600000044;non;18/12/2024;18/12/2024;;
C000050;Élise;Alexandre;#photo, peinture#;0600000045;non;18/12/2024;18/12/2024;;
C000051;Jules;Page;#photo, peinture#;0600000046;non;18/12/2024;18/12/2024;;
C000052;Pierre;Renard;#photo, peinture#;0600000047;non;18/12/2024;18/12/2024;;
C000053;Baptiste;Lambert;#photo, peinture#;0600000048;non;18/12/2024;18/12/2024;;
C000054;Lucas;Lambert;#photo, peinture#;0600000049;non;18/12/2024;18/12/2024;;
C000055;Camille;Gautier;#photo, peinture#;0600000050;non;18/12/2024;18/12/2024;;
C000056;Zoé;Legrand;#photo, peinture#;0600000051;non;18/12/2024;18/12/2024;;
C000057;Jade;Gautier;#photo, peinture#;0600000052;non;18/12/2024;18/12/2024;;
C000058;Emma;Nguyen;#photo, peinture#;0600000053;non;18/12/2024;18/12/2024;;
C000059;Tristan;Fernandez;#photo, peinture#;0600000054;non;18/12/2024;18/12/2024;;
C000060;Jeanne;Marchand;#photo, peinture#;0600000055;non;18/12/2024;18/12/2024;;
C000061;Félix;Michel;#photo, peinture#;0600000056;non;18/12/2024;18/12/2024;;
C000062;Emma;Moreau;#photo, peinture#;0600000057;non;18/12/2024;18/12/2024;;
C000063;Alice;Giraud;#photo, peinture#;0600000058;non;18/12/2024;18/12/2024;;
C000064;Anaïs;Masson;#photo, peinture#;0600000059;non;18/12/2024;18/12/2024;;
C000065;Anouk;Brunel;#photo, peinture#;0600000060;non;18/12/2024;18/12/2024;;
C000066;Loïc;Fernandez;#photo, peinture#;0600000061;non;18/12/2024;18/12/2024;;
C000067;Camille;Bouvier;#photo, peinture#;0600000062;non;18/12/2024;18/12/2024;;
C000068;Jonathan;Denis;#photo, peinture#;0600000063;non;18/12/2024;18/12/2024;;
C000069;Audrey;Olivier;#photo, peinture#;0600000064;non;18/12/2024;18/12/2024;;
C000070;Amélie;Dupont;#photo, peinture#;0600000065;non;18/12/2024;18/12/2024;;
C000071;Juliette;Gillet;#photo, peinture#;0600000066;non;18/12/2024;18/12/2024;;
C000072;Louis;Olivier;#photo, peinture#;0600000067;non;18/12/2024;18/12/2024;;
C000073;Simon;Schmitt;#photo, peinture#;0600000068;non;18/12/2024;18/12/2024;;
C000074;Carla;Laurent;#photo, peinture#;0600000069;non;18/12/2024;18/12/2024;;
C000075;Baptiste;Pelletier;#photo, peinture#;0600000070;non;18/12/2024;18/12/2024;;
C000076;Élodie;Meyer;#photo, peinture#;0600000071;non;18/12/2024;18/12/2024;;
C000077;Fabien;Dubois;#photo, peinture#;0600000072;non;18/12/2024;18/12/2024;;
C000078;Hugo;Nguyen;#photo, peinture#;0600000073;non;18/12/2024;18/12/2024;;
C000079;Pauline;Robin;#photo, peinture#;0600000074;non;18/12/2024;18/12/2024;;
C000080;Léon;Fournier;#photo, peinture#;0600000075;non;18/12/2024;18/12/2024;;
C000081;Arnaud;Daniel;#photo, peinture#;0600000076;non;18/12/2024;18/12/2024;;
C000082;Louis;Brunet;#photo, peinture#;0600000077;non;18/12/2024;18/12/2024;;
C000083;Maxime;Colin;#photo, peinture#;0600000078;non;18/12/2024;18/12/2024;;
C000084;Amélie;Jacob;#photo, peinture#;0600000079;non;18/12/2024;18/12/2024;;
C000085;Valentin;Brunet;#photo, peinture#;0600000080;non;18/12/2024;18/12/2024;;
C000086;Romain;Masson;#photo, peinture#;0600000081;non;18/12/2024;18/12/2024;;
C000087;Quentin;Renaud;#photo, peinture#;0600000082;non;18/12/2024;18/12/2024;;
C000088;Antoine;Leclerc;#photo, peinture#;0600000083;non;18/12/2024;18/12/2024;;
C000089;Léo;Lopez;#photo, peinture#;0600000084;non;18/12/2024;18/12/2024;;
C000090;Anaïs;Foucher;#photo, peinture#;0600000085;non;18/12/2024;18/12/2024;;
C000091;Adrien;Colin;#photo, peinture#;0600000086;non;18/12/2024;18/12/2024;;
C000092;Fabien;Rolland;#photo, peinture#;0600000087;non;18/12/2024;18/12/2024;;
C000093;Anouk;Dufour;#photo, peinture#;0600000088;non;18/12/2024;18/12/2024;;
C000094;Sonia;Charles;#photo, peinture#;0600000089;non;18/12/2024;18/12/2024;;
C000095;Laura;Lambert;#photo, peinture#;0600000090;non;18/12/2024;18/12/2024;;
C000096;Romain;Bertrand;#photo, peinture#;0600000091;non;18/12/2024;18/12/2024;;
C000097;David;Gauthier;#photo, peinture#;0600000092;non;18/12/2024;18/12/2024;;
C000098;Jade;Carpentier;#photo, peinture#;0600000093;non;18/12/2024;18/12/2024;;
C000099;Martin;Daniel;#photo, peinture#;0600000094;non;18/12/2024;18/12/2024;;
C000100;Adrien;Perrin;#photo, peinture#;0600000095;non;18/12/2024;18/12/2024;;
C000101;Mathilde;Garnier;#photo, peinture#;0600000096;non;18/12/2024;18/12/2024;;
C000102;Gabriel;Dufour;#photo, peinture#;0600000097;non;18/12/2024;18/12/2024;;
C000103;Enzo;Dubois;#photo, peinture#;0600000098;non;18/12/2024;18/12/2024;;
C000104;Simon;Philippe;#photo, peinture#;0600000099;non;18/12/2024;18/12/2024;;
C000105;Victoria;Leroy;#photo, peinture#;0600000100;non;18/12/2024;18/12/2024;;
C000106;Charlotte;Bertrand;#photo, peinture#;0600000101;non;18/12/2024;18/12/2024;;
C000107;Emma;Vidal;#photo, peinture#;0600000102;non;18/12/2024;18/12/2024;;
C000108;Nathan;Jacques;#photo, peinture#;0600000103;non;18/12/2024;18/12/2024;;
C000109;Nicolas;Hubert;#photo, peinture#;0600000104;non;18/12/2024;18/12/2024;;
C000110;Victoria;Morin;#photo, peinture#;0600000105;non;18/12/2024;18/12/2024;;
C000111;Jonathan;Pelletier;#photo, peinture#;0600000106;non;18/12/2024;18/12/2024;;
C000112;Agathe;Lemoine;#photo, peinture#;0600000107;non;18/12/2024;18/12/2024;;
C000113;Maxime;Pelletier;#photo, peinture#;0600000108;non;18/12/2024;18/12/2024;;
C000114;Adrien;Pelletier;#photo, peinture#;0600000109;non;18/12/2024;18/12/2024;;
C000115;Élodie;Foucher;#photo, peinture#;0600000110;non;18/12/2024;18/12/2024;;
C000116;Hugo;Leroy;#photo, peinture#;0600000111;non;18/12/2024;18/12/2024;;
C000117;Maxime;Lefèvre;#photo, peinture#;0600000112;non;18/12/2024;18/12/2024;;
C000118;Jonathan;Monnier;#photo, peinture#;0600000113;non;18/12/2024;18/12/2024;;
C000119;Audrey;Prevost;#photo, peinture#;0600000114;non;18/12/2024;18/12/2024;;
C000120;Mélanie;Philippe;#photo, peinture#;0600000115;non;18/12/2024;18/12/2024;;
C000121;Hugo;Masson;#photo, peinture#;0600000116;non;18/12/2024;18/12/2024;;
C000122;Hugo;André;#photo, peinture#;0600000117;non;18/12/2024;18/12/2024;;
C000123;Gaël;Lemoine;#photo, peinture#;0600000118;non;18/12/2024;18/12/2024;;
C000124;Noé;Richard;#photo, peinture#;0600000119;non;18/12/2024;18/12/2024;;
C000125;Mathilde;Jacob;#photo, peinture#;0600000120;non;18/12/2024;18/12/2024;;
C000126;Sophie;Laurent;#photo, peinture#;0600000121;non;18/12/2024;18/12/2024;;
C000127;Rémi;Masson;#photo, peinture#;0600000122;non;18/12/2024;18/12/2024;;
C000128;Clément;Moreau;#photo, peinture#;0600000123;non;18/12/2024;18/12/2024;;
C000129;Esteban;Perrin;#photo, peinture#;0600000124;non;18/12/2024;18/12/2024;;
C000130;Alice;Morel;#photo, peinture#;0600000125;non;18/12/2024;18/12/2024;;
C000131;Gaël;Page;#photo, peinture#;0600000126;non;18/12/2024;18/12/2024;;
C000132;Lucas;Faure;#photo, peinture#;0600000127;non;18/12/2024;18/12/2024;;
C000133;Jeanne;Garnier;#photo, peinture#;0600000128;non;18/12/2024;18/12/2024;;
C000134;Vincent;André;#photo, peinture#;0600000129;non;18/12/2024;18/12/2024;;
C000135;Charlotte;Garnier;#photo, peinture#;0600000130;non;18/12/2024;18/12/2024;;
C000136;Sandra;François;#photo, peinture#;0600000131;non;18/12/2024;18/12/2024;;
C000137;Clémence;Nguyen;#photo, peinture#;0600000132;non;18/12/2024;18/12/2024;;
C000138;Stéphane;Pelletier;#photo, peinture#;0600000133;non;18/12/2024;18/12/2024;;
